Drug1	Drug2	Drug1_ATC_Code	Drug2_ATC_Code	ATC_Jacard_Sim	Similarity
salbutamol	terbutaline	R03AL02,R03CC02,R03AK04,R03AC02	R03CC53,R03AC03,R03CC03	1.0	0.78313774
salbutamol	salmeterol	R03AL02,R03CC02,R03AK04,R03AC02	R03AK06,R03AK12,R03AC12	1.0	0.7087239
salbutamol	fenoterol	R03AL02,R03CC02,R03AK04,R03AC02	R03AL01,R03AC04,R03CC04,G02CA03	0.5	0.71438795
norethandrolone	fluoxymesterone	A14AA09	G03BA01	0.0	0.7104794
norethandrolone	stanozolol	A14AA09	A14AA02	1.0	0.722192
norethandrolone	oxymetholone	A14AA09	A14AA05	1.0	0.70915234
bivalirudin	abciximab	B01AE06	B01AC13	1.0	0.73924965
bivalirudin	fondaparinux	B01AE06	B01AX05	1.0	0.71894044
bivalirudin	eptifibatide	B01AE06	B01AC16	1.0	0.775313
famotidine	nizatidine	A02BA03,A02BA53	A02BA04	1.0	0.7947671
famotidine	ranitidine	A02BA03,A02BA53	A02BA07,A02BA02	1.0	0.8375436
famotidine	esomeprazole	A02BA03,A02BA53	M01AE52,A02BC05,A02BD06	0.5	0.72343385
famotidine	itopride	A02BA03,A02BA53	A03FA07	1.0	0.7372877
famotidine	lafutidine	A02BA03,A02BA53	A02BA08	1.0	0.75594616
famotidine	cimetidine	A02BA03,A02BA53	A02BA01,A02BA51	1.0	0.77484417
famotidine	rabeprazole	A02BA03,A02BA53	A02BC04,M01AA05,M02AA03,A02BC54	0.5	0.71461105
famotidine	omeprazole	A02BA03,A02BA53	A02BD05,A02BC01,A02BD01	1.0	0.7474513
canrenone	triamterene	C03DA03	C03DB02	1.0	0.7092759
cefepime	piperacillin	J01RA06,J01DE01	J01CA12,J01CR50,J01CR05	1.0	0.714589
cefepime	ertapenem	J01RA06,J01DE01	J01DH03	1.0	0.7523942
cefepime	doripenem	J01RA06,J01DE01	J01DH04	1.0	0.7076795
amantadine	rimantadine	N04BB01	J05AC02	0.0	0.7224755
perphenazine	perazine	N05AB03	N05AB10	1.0	0.7483042
perphenazine	zotepine	N05AB03	N05AX11	1.0	0.8037392
perphenazine	flupentixol	N05AB03	N05AF01	1.0	0.77919424
perphenazine	remoxipride	N05AB03	N05AL04	1.0	0.71322215
perphenazine	fluspirilene	N05AB03	N05AG01	1.0	0.7293424
perphenazine	benperidol	N05AB03	N05AD07	1.0	0.76355386
